M,gamma,Q,theta_index,xi,theta_deg,root_index,t,beta_deg,u,u_cj,R,D,D_minus_R2,cubic_rel_residual,geometry_ok,cj_ok,high_compression_ok,accepted
7.0,1.4,2.0,16,0.8,34.42872462936245,2,4.914358279349585,78.49818066432977,47.05176091910322,4.521701453968774,44.628560644830046,1991.7084252292736,4.547473508864641e-13,6.054311950933295e-17,True,True,True,True
7.0,1.4,2.0,17,0.8500000000000001,36.2348801673089,0,-0.02191372942462011,-1.2553632885035344,0.023519071198141776,4.521701453968774,-0.9428709094487269,0.8890055518845509,-1.184607967275042e-13,1.5301412912877747e-14,False,False,False,False
7.0,1.4,2.0,17,0.8500000000000001,36.2348801673089,1,1.2444585356935565,51.215952681563344,29.774339355191017,4.521701453968774,27.31841587562237,746.2958459534565,1.1368683772161603e-13,3.1315889698927726e-18,True,True,True,True
7.0,1.4,2.0,17,0.8500000000000001,36.2348801673089,2,4.400359690869935,77.1967460745424,46.59369434880375,4.521701453968774,44.16995717697064,1950.9851170154204,2.2737367544323206e-13,2.646593664428438e-17,True,True,True,True
7.0,1.4,2.0,18,0.9,38.041035705255354,0,-0.020622676208901458,-1.181424843421496,0.020830584787992268,4.521701453968774,-0.9495459048466217,0.9016374254109893,-2.220446049250313e-16,7.094623920657881e-17,False,False,False,False
7.0,1.4,2.0,18,0.9,38.041035705255354,1,1.403278120661291,54.52567749224981,32.49717986499177,4.521701453968774,30.048913749622248,902.9372175322371,1.1368683772161603e-13,6.689371567788783e-17,True,True,True,True
7.0,1.4,2.0,18,0.9,38.041035705255354,2,3.883697003635066,75.56075402976636,45.95332413284149,4.521701453968774,43.52881743462043,1894.757947256515,-2.2737367544323206e-13,7.478580416471779e-17,True,True,True,True
7.0,1.4,2.0,19,0.9500000000000001,39.847191243201806,0,-0.01941558248476216,-1.112291182321555,0.018464316919574758,4.521701453968774,-0.9553885668195004,0.9127673136093235,-9.536815781530095e-14,1.2105744036634187e-14,False,False,False,False
7.0,1.4,2.0,19,0.9500000000000001,39.847191243201806,1,1.6326146402035597,58.511930072050234,35.631856980410305,4.521701453968774,33.19084850496611,1101.6324244796115,2.2737367544323206e-13,1.022534925712308e-16,True,True,True,True
7.0,1.4,2.0,19,0.9500000000000001,39.847191243201806,2,3.32422741006979,73.2575688342497,44.93377458963351,4.521701453968774,42.507994837489306,1806.9296251040178,2.2737367544323206e-13,8.221343932974038e-18,True,True,True,True
7.0,1.4,2.0,20,1.0,41.65334678114825,0,-0.018283185737138163,-1.0474326790489075,0.016373995738763792,4.521701453968774,-0.9605251610916241,0.9226085850897449,-3.4561242756581123e-13,4.362220192507165e-14,False,False,False,False
7.0,1.4,2.0,20,1.0,41.65334678114825,1,2.3253677093532863,66.73038451158779,41.352514715613985,4.521701453968774,38.921734333287574,1514.9014035110163,-4.547473508864641e-13,6.453162787080506e-17,True,True,True,True
7.0,1.4,5.0,0,0.0,8.600202014655572,0,0.46601764038738497,24.986349552218275,8.742762534440425,8.742762534440427,-3.552713678800501e-15,-2.1316282072803006e-14,-2.1316282072803018e-14,5.615815457384073e-17,True,True,True,True
7.0,1.4,5.0,1,0.05,10.131882589740224,0,-0.04796022354288976,-2.745814391406314,0.11245031276938222,8.742762534440427,-0.12906040567617283,0.016656588313118115,-1.801891968966629e-13,3.147482274812319e-14,False,False,False,False
7.0,1.4,5.0,1,0.05,10.131882589740224,1,0.4715497642830533,25.246210216684048,8.913582853636369,8.742762534440427,1.2260026855615092,1.5030825850038667,-1.6586731987899839e-13,5.028770113087788e-16,True,True,True,True
7.0,1.4,5.0,1,0.05,10.131882589740224,2,20.234283683528076,87.17068311211132,48.88061192077922,8.742762534440427,44.24219319860762,1957.3716590229217,-9.094947017729282e-13,3.408020689023493e-17,True,True,True,True
7.0,1.4,5.0,2,0.1,11.663563164824875,0,-0.046769151938041986,-2.677723778737866,0.10694639549686923,8.742762534440427,-0.25337329878624093,0.06419802853750256,-3.191613640041169e-13,5.706546346573305e-14,False,False,False,False
7.0,1.4,5.0,2,0.1,11.663563164824875,1,0.4855571072409637,25.89922093293813,9.348470728842814,8.742762534440427,2.364987151518827,5.593164226851698,2.5632829192545614e-12,7.624151468894622e-15,True,True,True,True
7.0,1.4,5.0,2,0.1,11.663563164824875,2,17.44448454543594,86.71912675293028,48.83950740751753,8.742762534440427,44.20089353879727,1953.7189896280902,2.2737367544323206e-13,2.6431558483590873e-17,True,True,True,True
7.0,1.4,5.0,3,0.15000000000000002,13.195243739909527,0,-0.0451324727769391,-2.584146577225862,0.09960717100832538,8.742762534440427,-0.35733268154432074,0.12768664529968565,3.072542220650121e-14,5.773159728050814e-15,False,False,False,False
7.0,1.4,5.0,3,0.15000000000000002,13.195243739909527,1,0.5056062961821883,26.821448174692634,9.976005294732195,8.742762534440427,3.4873740266093094,12.161777601468202,-1.0267342531733448e-12,2.277298172738983e-15,True,True,True,True
7.0,1.4,5.0,3,0.15000000000000002,13.195243739909527,2,15.284574294800489,86.25673332942807,48.791150057307185,8.742762534440427,44.15230614240669,1949.4261376928034,2.2737367544323206e-13,2.404388499871806e-17,True,True,True,True
7.0,1.4,5.0,4,0.2,14.726924314994177,0,-0.04326670755104711,-2.477454568838753,0.09155699570628574,8.742762534440427,-0.4443526672830509,0.19744929292137303,-1.8871015861066098e-13,3.452981787407675e-14,False,False,False,False
