gamma,Q,M,M_over_Mcj,c2,n_sonic,n_sonic_high,theta_cj_deg,theta_max_deg,beta_max_deg,theta_s_deg,beta_s_deg,u_s,R_s,order_ok,weak_ok
1.2,2.0,14.196602122156085,8.0,-478.7444283555359,1,1,2.2138869959775977,55.28715727748086,72.76533841240202,55.28705731623637,72.72108047445201,183.76273776308201,182.02389852050896,True,True
1.2,2.0,26.618628979042658,15.0,-1695.563380937431,1,1,1.1837230470378268,56.110798741893156,73.08909594069641,56.11079084421452,73.07679026555572,648.5135454798672,646.778662588579,True,True
1.2,5.0,2.343035350451805,1.0005,-4.375555168320351,1,1,1.070028690823162,1.0719879597727513,88.19183277071211,1.0719415401718362,88.1908947202435,5.484343287453652,0.008717744389109328,True,True
1.2,5.0,2.344206282660926,1.001,-4.3887274296007,1,1,1.5108607870613324,1.5163929794757718,87.44804484352765,1.5162624091009576,87.44540963724954,5.484386150566476,0.017414418796306563,True,True
1.2,5.0,2.3652830624251107,1.01,-4.626953516948265,1,1,4.645709733298428,4.815436935074122,82.20919019272463,4.811693745836499,82.13519798518685,5.489810795799064,0.17057177612547392,True,True
1.2,5.0,2.4589576391548182,1.05,-5.711534410778811,1,1,9.24745404431185,10.922030887087805,74.76181849608676,10.894215577869224,74.24097150111587,5.600471104714738,0.7932677152310381,True,True
1.2,5.0,2.5760508600669523,1.1,-7.126491280764044,1,1,11.484044994228102,15.605493502048189,71.15133099853014,15.556011573831698,70.23764435474884,5.877373567113501,1.4961293951709616,True,True
1.2,5.0,2.8102373018912203,1.2,-10.153840863058031,1,1,12.994389413157762,22.180633562312376,68.34985563423513,22.118995490898396,67.14746532786347,6.7063109977866215,2.8235045974066155,True,True
1.2,5.0,3.5127966273640254,1.5,-20.815376348528172,1,1,12.474319531318674,33.76111327483273,67.389931702612,33.72554985930641,66.41805119230196,10.364786308289206,7.049468500262545,True,True
1.2,5.0,4.6837288364853675,2.0,-43.84955795293897,1,1,10.060769243082104,43.003184707682834,68.8543467693205,42.992220854175834,68.33346569075653,18.947005328188812,15.89410731623553,True,True
1.2,5.0,7.025593254728051,3.0,-109.6615053941127,1,1,6.946351680546053,50.13139147384694,70.90035331274156,50.129481750149196,70.69535598409885,43.964503171323756,41.04564964114754,True,True
1.2,5.0,11.70932209121342,5.0,-320.25973720586865,1,1,4.228196009452114,54.08553788791843,72.30550902604533,54.08531402664286,72.23831022364442,124.34882932731468,121.48657534429685,True,True
1.2,5.0,18.73491534594147,8.0,-833.5929272470236,1,1,2.654500102877242,55.50856228886028,72.85186327288301,55.50852950389399,72.8265969262781,320.39671969461943,317.55232101099443,True,True
1.2,5.0,35.127966273640254,15.0,-2952.737634852817,1,1,1.4185499705540132,56.175122927496474,73.11465742030528,56.17512032771803,73.10760373272501,1129.7847094506844,1126.9482580646784,True,True
1.2,10.0,3.0387758524449224,1.0005,-6.9619808353656785,1,1,1.232560026382887,1.234725657752326,88.1917005007773,1.234705026853993,88.19111210759544,9.224957765191274,0.015490678193231133,True,True
1.2,10.0,3.040294481056839,1.001,-6.984137275707223,1,1,1.740130565987414,1.746244261264158,87.44767535296056,1.7461862524653813,87.44602221554496,9.225036452102131,0.03094063659955637,True,True
1.2,10.0,3.067629796071336,1.01,-7.384846157787203,1,1,5.338925546845715,5.525859788051878,82.1998271658908,5.524208435917211,82.15333455266793,9.23495882558184,0.3025152416458887,True,True
1.2,10.0,3.1891200850246566,1.05,-9.20916860009842,1,1,10.541840107447666,12.362253485720755,74.72279165113908,12.350360916192026,74.39580737804323,9.434593391113426,1.3983373955937175,True,True
1.2,10.0,3.340982946216307,1.1,-11.58920091257967,1,1,12.995455656125898,17.418857793382045,71.13188987025407,17.398440435978635,70.56306358309408,9.926121252782249,2.623753945329941,True,True
1.2,10.0,3.6447086685996073,1.2,-16.681363069516294,1,1,14.563719498266385,24.246627538521487,68.4374886741984,24.222543613659283,67.70309778476215,11.371696759924454,4.917280831284172,True,True
1.2,10.0,4.55588583574951,1.5,-34.61462979611922,1,1,13.799971745454103,35.645460660551564,67.7080859625906,35.632593155975705,67.1335391634667,17.621966170906774,12.126912528207091,True,True
1.2,10.0,6.0745144476660125,2.0,-73.35934185976747,1,1,11.049248130625896,44.32419174308409,69.21331192207798,44.320343833597555,68.90899466834621,32.121496558877595,27.0737863372019,True,True
1.2,10.0,9.11177167149902,3.0,-184.05851918447686,1,1,7.5967275142163,50.82445874269749,71.13877126764544,50.82379118108883,71.01861563815235,74.24084534364601,69.42469705226279,True,True
1.2,10.0,15.18628611916503,5.0,-538.2958866235467,1,1,4.6152153089033545,54.360630519651885,72.41006412207791,54.36055185990039,72.37038307847448,209.4691958159322,204.75179649555685,True,True
